sales_date,total_sales,total_orders,total_customers
2010-12-01,46376.49000000002,121,95
2010-12-02,47316.52999999987,137,99
2010-12-03,23921.71000000006,57,50
2010-12-05,31771.600000000188,87,75
2010-12-06,31215.64000000016,94,82
2010-12-07,53795.30999999977,71,65
2010-12-08,39248.81999999998,111,99
2010-12-09,38231.90000000002,98,90
2010-12-10,33650.28000000005,72,53
2010-12-12,17305.770000000062,43,42
2010-12-13,27642.680000000088,64,59
2010-12-14,29322.300000000156,81,73
2010-12-15,30311.720000000118,70,66
2010-12-16,49030.079999999994,113,98
2010-12-17,20046.560000000023,55,51
2010-12-19,7417.389999999992,18,17
2010-12-20,19621.96000000006,50,41
2010-12-21,15951.660000000025,27,23
2010-12-22,4886.519999999995,14,13
2010-12-23,5648.969999999993,17,15
2011-01-04,12125.46000000001,35,34
2011-01-05,28803.630000000125,48,45
2011-01-06,34360.19000000011,46,45
2011-01-07,23797.790000000055,47,45
2011-01-09,15778.20000000002,48,48
2011-01-10,15346.830000000049,34,32
2011-01-11,60268.780000000064,53,47
2011-01-12,17153.940000000024,42,42
2011-01-13,15171.310000000023,41,41
2011-01-14,39532.020000000026,38,37
2011-01-16,7242.059999999983,25,22
2011-01-17,16597.350000000024,46,45
2011-01-18,87589.10999999994,32,31
2011-01-19,21646.780000000046,33,33
2011-01-20,15244.73000000001,34,30
2011-01-21,24279.760000000028,34,32
2011-01-23,10400.24999999997,27,27
2011-01-24,17632.370000000024,44,43
2011-01-25,24119.300000000083,59,57
2011-01-26,17490.820000000043,53,49
2011-01-27,22157.030000000123,50,50
2011-01-28,17273.500000000007,37,36
2011-01-30,6615.749999999991,24,22
2011-01-31,18818.080000000045,57,50
2011-02-01,26376.500000000036,58,57
2011-02-02,17145.230000000058,56,55
2011-02-03,22184.000000000076,45,44
2011-02-04,18114.310000000012,45,41
2011-02-06,3457.1099999999965,11,11
2011-02-07,23415.010000000013,38,35
2011-02-08,14168.030000000024,38,37
2011-02-09,11920.780000000019,23,22
2011-02-10,14198.510000000017,40,39
2011-02-11,18599.45999999998,38,34
2011-02-13,5713.629999999991,20,20
2011-02-14,23003.990000000085,36,36
2011-02-15,37784.650000000096,53,47
2011-02-16,23499.22000000004,62,56
2011-02-17,17674.79000000004,55,50
2011-02-18,14463.060000000016,35,34
2011-02-20,9624.69000000003,26,26
2011-02-21,32801.730000000076,33,31
2011-02-22,29160.48000000005,50,47
2011-02-23,19348.07000000005,53,49
2011-02-24,21472.890000000065,53,52
2011-02-25,18377.69000000002,45,42
2011-02-27,9526.499999999982,33,31
2011-02-28,15107.020000000042,51,49
2011-03-01,23631.870000000028,56,52
2011-03-02,18686.990000000016,42,40
2011-03-03,32855.050000000076,47,46
2011-03-04,17322.470000000023,45,38
2011-03-06,9997.419999999982,26,24
2011-03-07,20285.680000000062,58,49
2011-03-08,22230.610000000066,44,41
2011-03-09,20345.870000000043,51,47
2011-03-10,24431.720000000074,52,46
2011-03-11,20896.000000000047,48,42
2011-03-13,4148.119999999994,16,16
2011-03-14,26009.250000000065,48,41
2011-03-15,14936.43000000001,41,40
2011-03-16,21820.66000000004,50,46
2011-03-17,32028.9400000001,56,51
2011-03-18,23398.74000000005,52,48
2011-03-20,20084.80000000008,57,56
2011-03-21,16051.050000000023,48,47
2011-03-22,19064.290000000034,41,40
2011-03-23,21578.800000000043,59,55
2011-03-24,36697.1400000001,68,63
2011-03-25,27302.75,52,45
2011-03-27,9224.399999999996,31,31
2011-03-28,20005.159999999993,58,52
2011-03-29,37190.51999999993,50,46
2011-03-30,29587.420000000075,66,63
2011-03-31,25688.610000000106,59,57
2011-04-01,24586.820000000058,68,59
2011-04-03,6918.499999999998,19,18
2011-04-04,29017.770000000062,54,49
2011-04-05,28759.370000000064,46,45
2011-04-06,12722.32000000002,37,36
2011-04-07,16827.770000000073,61,57
2011-04-08,22720.710000000032,65,63
2011-04-10,9913.979999999976,32,31
2011-04-11,20184.140000000036,59,54
2011-04-12,24023.960000000105,60,54
2011-04-13,24484.42000000002,60,54
2011-04-14,35702.700000000084,82,75
2011-04-15,18021.48100000002,41,40
2011-04-17,12725.499999999993,42,39
2011-04-18,43713.56000000003,62,56
2011-04-19,18853.04000000006,53,52
2011-04-20,25718.950000000015,62,58
2011-04-21,27804.47000000003,71,64
2011-04-26,21584.41000000004,59,55
2011-04-27,23593.199999999983,61,56
2011-04-28,21323.29000000005,55,49
2011-05-01,6973.659999999997,18,18
2011-05-03,28910.410000000073,59,50
2011-05-04,27532.000000000106,62,55
2011-05-05,25232.670000000067,82,76
2011-05-06,30786.70000000008,77,64
2011-05-08,18867.400000000045,63,58
2011-05-09,21624.41000000002,63,59
2011-05-10,29870.700000000106,70,63
2011-05-11,31887.700000000128,73,56
2011-05-12,59901.559999999896,84,68
2011-05-13,25885.830000000013,67,52
2011-05-15,9680.05,30,29
2011-05-16,35706.69999999999,64,52
2011-05-17,46406.09000000005,72,56
2011-05-18,32882.87000000008,71,62
2011-05-19,31553.510000000002,92,82
2011-05-20,25489.660000000036,69,58
2011-05-22,24231.090000000066,61,57
2011-05-23,31307.490000000034,64,55
2011-05-24,32462.480000000094,62,53
2011-05-25,21884.93,60,52
2011-05-26,32764.38000000001,61,50
2011-05-27,21163.32000000006,56,49
2011-05-29,7394.299999999987,24,20
2011-05-31,18194.650000000012,51,48
2011-06-01,15390.890000000014,37,35
2011-06-02,28104.560000000074,42,33
2011-06-03,15042.260000000013,41,37
2011-06-05,25639.540000000114,67,62
2011-06-06,16290.980000000038,56,54
2011-06-07,33908.260000000104,71,68
2011-06-08,30192.13000000009,82,71
2011-06-09,42910.38000000012,82,76
2011-06-10,58245.12000000001,44,41
2011-06-12,12472.20999999999,38,38
2011-06-13,19719.11000000003,52,49
2011-06-14,33334.47000000013,52,42
2011-06-15,45077.53999999996,50,42
2011-06-16,32307.77000000002,81,74
2011-06-17,19059.230000000047,46,35
2011-06-19,22442.180000000102,60,57
2011-06-20,26136.730000000065,59,49
2011-06-21,19850.660000000003,48,45
2011-06-22,21170.420000000064,57,55
2011-06-23,22556.810000000034,69,64
2011-06-24,16021.709999999988,45,40
2011-06-26,7082.489999999984,26,24
2011-06-27,13412.20000000002,35,31
2011-06-28,30532.37000000014,49,41
2011-06-29,12570.63,39,36
2011-06-30,41743.04000000012,65,55
2011-07-01,12189.289999999997,42,35
2011-07-03,6032.389999999991,25,24
2011-07-04,30985.170000000086,37,32
2011-07-05,25992.260000000024,64,58
2011-07-06,22960.48000000003,66,61
2011-07-07,27893.659999999993,73,67
2011-07-08,17558.300000000025,46,42
2011-07-10,5993.869999999983,24,20
2011-07-11,20080.03000000002,48,43
2011-07-12,17948.19000000001,45,41
2011-07-13,19432.850000000017,56,50
2011-07-14,32020.910000000076,69,61
2011-07-15,11857.299999999988,37,34
2011-07-17,16958.60000000004,50,45
2011-07-18,22018.36000000006,46,45
2011-07-19,46599.08000000012,62,57
2011-07-20,27076.970000000012,53,47
2011-07-21,30394.70999999998,70,59
2011-07-22,14633.769999999975,37,34
2011-07-24,26796.920000000016,57,53
2011-07-25,19687.31000000006,53,49
2011-07-26,17293.000999999986,46,44
2011-07-27,22855.32000000005,44,39
2011-07-28,54198.370000000046,78,68
2011-07-29,17240.609999999986,62,57
2011-07-31,33393.289999999986,41,37
2011-08-01,19808.40000000005,39,35
2011-08-02,20277.049999999963,41,39
2011-08-03,26617.770000000117,62,59
2011-08-04,62079.61000000009,79,76
2011-08-05,19825.40000000007,52,47
2011-08-07,7576.959999999994,29,28
2011-08-08,19758.620000000017,38,38
2011-08-09,25957.120000000035,40,38
2011-08-10,19861.559999999994,43,42
2011-08-11,54386.17000000008,64,58
2011-08-12,17970.170000000002,46,40
2011-08-14,5718.569999999994,25,21
2011-08-15,17243.970000000005,48,46
2011-08-16,16077.840000000013,50,44
2011-08-17,48769.64000000006,51,45
2011-08-18,54082.809999999954,67,64
2011-08-19,17339.589999999993,55,54
2011-08-21,14566.840000000007,38,36
2011-08-22,29623.180000000026,63,57
2011-08-23,22399.110000000044,60,56
2011-08-24,38617.010000000104,72,59
2011-08-25,22495.290000000045,72,68
2011-08-26,24111.639999999978,44,41
2011-08-28,10805.029999999977,37,36
2011-08-30,8833.71,23,23
2011-08-31,20540.840000000004,42,39
2011-09-01,37370.15000000005,76,69
2011-09-02,30297.050000000112,64,58
2011-09-04,17005.029999999988,49,45
2011-09-05,35698.69999999999,67,57
2011-09-06,25495.820000000054,61,54
2011-09-07,21967.42000000005,46,42
2011-09-08,23188.30000000006,72,63
2011-09-09,25142.150000000067,58,52
2011-09-11,35511.6700000001,75,68
2011-09-12,27989.40000000006,67,62
2011-09-13,48162.250000000175,63,61
2011-09-14,22027.9500000001,65,58
2011-09-15,71993.66999999995,79,70
2011-09-16,23248.980000000018,46,44
2011-09-18,15745.73000000003,27,25
2011-09-19,46607.22000000003,69,63
2011-09-20,103435.8099999999,67,53
2011-09-21,38503.06000000008,67,65
2011-09-22,57869.36000000005,111,94
2011-09-23,31781.100000000137,58,56
2011-09-25,31372.661000000113,75,74
2011-09-26,29329.841000000106,65,62
2011-09-27,29274.36000000001,75,67
2011-09-28,39057.88999999994,80,72
2011-09-29,44729.37000000006,103,93
2011-09-30,40033.439999999995,70,60
2011-10-02,11582.950000000012,34,32
2011-10-03,62275.95000000008,65,48
2011-10-04,38690.20000000009,74,65
2011-10-05,74108.42999999964,94,82
2011-10-06,60387.79999999997,116,98
2011-10-07,49187.6699999999,85,74
2011-10-09,12466.809999999996,38,35
2011-10-10,43080.32000000007,90,83
2011-10-11,46436.77000000013,78,69
2011-10-12,27731.37000000008,82,73
2011-10-13,33039.1800000001,74,67
2011-10-14,32124.680000000033,70,61
2011-10-16,22010.96000000008,35,32
2011-10-17,47005.23999999999,85,76
2011-10-18,37302.40000000014,77,73
2011-10-19,37333.5199999999,77,71
2011-10-20,61064.05999999961,86,76
2011-10-21,60417.25999999987,62,56
2011-10-23,12339.160000000022,42,39
2011-10-24,39315.2799999999,73,61
2011-10-25,36235.950000000055,72,65
2011-10-26,34435.320000000014,92,77
2011-10-27,55837.139999999956,104,91
2011-10-28,37290.57000000006,65,60
2011-10-30,34571.23000000012,96,88
2011-10-31,33048.57000000008,63,61
2011-11-01,29132.810000000176,76,74
2011-11-02,38734.69999999998,83,79
2011-11-03,60672.11000000001,100,86
2011-11-04,56099.23999999985,87,73
2011-11-06,42941.34000000018,101,88
2011-11-07,28779.24000000008,90,81
2011-11-08,38295.11999999999,99,95
2011-11-09,61489.17999999985,118,101
2011-11-10,70513.29000000001,125,112
2011-11-11,37081.37000000015,93,87
2011-11-13,28607.78000000015,83,75
2011-11-14,58777.70999999999,104,93
2011-11-15,47729.00000000002,104,93
2011-11-16,48439.760000000235,124,111
2011-11-17,55885.29999999982,136,125
2011-11-18,36751.25000000017,103,98
2011-11-20,30190.920000000202,98,91
2011-11-21,45333.12999999989,96,85
2011-11-22,49664.889999999934,130,120
2011-11-23,71979.92999999982,130,107
2011-11-24,38579.11000000017,109,98
2011-11-25,26674.66000000008,73,69
2011-11-27,17300.960000000057,56,51
2011-11-28,51831.67000000005,114,97
2011-11-29,48851.680000000095,126,109
2011-11-30,41481.23000000003,99,92
2011-12-01,44533.98999999982,118,111
2011-12-02,44713.68999999999,114,95
2011-12-04,20375.96000000006,62,58
2011-12-05,58202.20999999991,116,105
2011-12-06,46144.040000000175,110,103
2011-12-07,69354.20999999972,104,94
2011-12-08,50519.409999999996,113,105
2011-12-09,184349.27999999997,41,35
