StockCode,Description,total_quantity,total_sales
23843,"PAPER CRAFT , LITTLE BIRDIE",80995.0,168469.6
22423,REGENCY CAKESTAND 3 TIER,12402.0,142592.94999999992
85123A,WHITE HANGING HEART T-LIGHT HOLDER,36725.0,100448.1499999999
85099B,JUMBO BAG RED RETROSPOT,46181.0,85220.7799999999
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916.0,81416.73000000001
POST,POSTAGE,3120.0,77803.95999999999
47566,PARTY BUNTING,15291.0,68844.32999999993
84879,ASSORTED COLOUR BIRD ORNAMENT,35362.0,56580.340000000324
M,Manual,7173.0,53779.93
23084,RABBIT NIGHT LIGHT,27202.0,51346.199999999844
79321,CHILLI LIGHTS,9650.0,46286.509999999966
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,15617.0,42660.830000000075
22502,PICNIC BASKET WICKER 60 PIECES,61.0,39619.5
21137,BLACK RECORD COVER FRAME,11406.0,39064.55
22386,JUMBO BAG PINK POLKADOT,20165.0,37289.58999999997
23284,DOORMAT KEEP CALM AND COME IN,5342.0,35913.84999999998
23298,SPOTTY BUNTING,7639.0,35539.25000000007
82484,WOOD BLACK BOARD ANT WHITE FINISH,5921.0,34478.010000000024
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,7020.0,33347.800000000076
22960,JAM MAKING SET WITH JARS,8151.0,32662.969999999998
